Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price_Per_Box,Year,Month_Name,Quarter
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,29.56,2022,January,Q1
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,84.0,2022,August,Q3
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,49.46,2022,July,Q3
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,37.21,2022,April,Q2
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,74.38,2022,February,Q1
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,141.47,2022,June,Q2
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,77.76,2022,January,Q1
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,42.19,2022,March,Q1
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,67.63,2022,April,Q2
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,27.79,2022,July,Q3
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,75.87,2022,January,Q1
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,336.64,2022,March,Q1
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,5.04,2022,January,Q1
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,1.08,2022,July,Q3
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,48.43,2022,August,Q3
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,19.07,2022,January,Q1
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,96.83,2022,February,Q1
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,21.55,2022,April,Q2
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,35.2,2022,February,Q1
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,6.31,2022,June,Q2
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,78.27,2022,June,Q2
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,8.07,2022,February,Q1
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,29.16,2022,May,Q2
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,26.58,2022,March,Q1
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,66.71,2022,February,Q1
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,0.52,2022,January,Q1
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,8.88,2022,February,Q1
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,35.94,2022,July,Q3
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,62.86,2022,July,Q3
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,16.81,2022,June,Q2
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,14.23,2022,May,Q2
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,82.97,2022,June,Q2
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,45.57,2022,May,Q2
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,51.42,2022,June,Q2
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,30.9,2022,May,Q2
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315,30.42,2022,July,Q3
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314,8.45,2022,August,Q3
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72,2.04,2022,July,Q3
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14,261.0,2022,May,Q2
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,581,4.2,2022,July,Q3
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16,58.62,2022,June,Q2
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354,41.66,2022,April,Q2
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241,19.84,2022,July,Q3
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142,44.42,2022,February,Q1
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102,74.53,2022,August,Q3
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188,36.12,2022,February,Q1
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160,60.86,2022,January,Q1
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18,387.72,2022,February,Q1
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303,14.46,2022,June,Q2
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176,29.79,2022,July,Q3
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70,69.5,2022,March,Q1
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23,372.83,2022,June,Q2
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135,0.67,2022,July,Q3
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83,178.29,2022,April,Q2
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179,12.32,2022,July,Q3
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24,18.38,2022,July,Q3
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18,197.56,2022,February,Q1
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416,40.37,2022,May,Q2
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55,280.38,2022,June,Q2
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227,19.55,2022,June,Q2
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48,33.4,2022,June,Q2
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174,1.57,2022,May,Q2
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302,10.18,2022,May,Q2
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149,40.87,2022,July,Q3
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11,932.27,2022,May,Q2
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11,184.55,2022,April,Q2
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14,1389.5,2022,August,Q3
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411,22.57,2022,July,Q3
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56,110.38,2022,July,Q3
